=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 59ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [1bb104a5]: inbound TCP, 500 ports
    
  Scan [1bb104a5] — inbound:

  Baseline (no IP options):
    TCP/40732  closed
    TCP/40915  closed
    TCP/41058  closed
    TCP/41081  filtered   [was closed]
    TCP/41370  closed
    TCP/41524  filtered   [was closed]
    TCP/42172  closed
    TCP/42508  filtered   [was closed]
    TCP/44968  filtered   [was closed]
    TCP/45441  closed
    TCP/47624  filtered   [was closed]
    TCP/49152  closed
    TCP/49153  closed
    TCP/49154  filtered   [was closed]
    TCP/49155  closed
    TCP/49156  filtered   [was closed]
    TCP/49157  closed
    TCP/49158  filtered   [was closed]
    TCP/49159  closed
    TCP/49160  filtered   [was closed]
    TCP/49161  filtered   [was closed]
    TCP/49162  filtered   [was closed]
    TCP/49163  closed
    TCP/49165  filtered   [was closed]
    TCP/49166  closed
    TCP/49167  filtered   [was closed]
    TCP/49168  filtered   [was closed]
    TCP/49169  filtered   [was closed]
    TCP/49170  closed
    TCP/49171  filtered   [was closed]
    TCP/49172  filtered   [was closed]
    TCP/49173  closed
    TCP/49174  filtered   [was closed]
    TCP/49175  filtered   [was closed]
    TCP/49176  filtered   [was closed]
    TCP/49179  closed
    TCP/49180  filtered   [was closed]
    TCP/49181  closed
    TCP/49182  filtered   [was closed]
    TCP/49184  filtered   [was closed]
    TCP/49185  closed
    TCP/49186  filtered   [was closed]
    TCP/49187  filtered   [was closed]
    TCP/49188  closed
    TCP/49189  filtered   [was closed]
    TCP/49190  filtered   [was closed]
    TCP/49191  closed
    TCP/49192  filtered   [was closed]
    TCP/49193  filtered   [was closed]
    TCP/49194  closed
    TCP/49195  filtered   [was closed]
    TCP/49196  filtered   [was closed]
    TCP/49197  closed
    TCP/49198  filtered   [was closed]
    TCP/49199  filtered   [was closed]
    TCP/49200  filtered   [was closed]
    TCP/49201  closed
    TCP/49202  filtered   [was closed]
    TCP/49204  closed
